item_seq,item_name,normalized_item_name,ingredient_name,company_name,drug_class,relation_ids,relation_count,nutrients,source_type_inherited,source_url_inherited,source_checked_at,covered_by_relation
201906213,레보플라정500밀리그램(레보플록사신수화물),레보플라정500밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201406125,레보플러스정750밀리그램(레보플록사신수화물),레보플러스정750밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201403940,레보플로정(레보플록사신수화물),레보플로정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
199900886,레보플록사신수화물정,레보플록사신수화물정,레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
200202193,레복사신정100밀리그램(레보플록사신수화물),레복사신정100밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
200905938,레복사신정250밀리그램(레보플록사신수화물),레복사신정250밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
200805811,레복사신정500밀리그램(레보플록사신수화물),레복사신정500밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
199801473,레브록신정(레보플록사신수화물),레브록신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
199803884,레비신정100mg(레보플록사신),레비신정100mg(레보플록사신),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
201708021,레비신정500mg(레보플록사신수화물),레비신정500mg(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
201502450,레사크라정100밀리그램(레보플록사신수화물),레사크라정100밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
201404678,레크로신정(레보플록사신수화물),레크로신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
199900121,레펙신정(레보플록사신수화물),레펙신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
200806028,레포신정100밀리그램(레보플록사신),레포신정100밀리그램(레보플록사신),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
199806978,레폭신정(레보플록사신수화물),레폭신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
201506122,레프렉스정100mg(레보플록사신수화물),레프렉스정100mg(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
200202476,레프로신정(레보플록사신수화물),레프로신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
201901699,레플로신정100밀리그램(레보플록사신수화물),레플로신정100밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
201508138,레플록신정500mg(레보플록사신),레플록신정500mg(레보플록사신),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
200804225,렉타신정250밀리그램(레보플록사신수화물),렉타신정250밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
201404979,리플록신정100밀리그램(레보플록사신수화물),리플록신정100밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
202001396,리플록신정250밀리그램(레보플록사신수화물),리플록신정250밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
202002669,리플록신정500밀리그램(레보플록사신수화물),리플록신정500밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
