rank,ingredient_name,product_count,therapeutic_class,relation_covered,relation_card_products,covered_base_ingredient,in_popular_seed,sensitive_hold,queue_action
285,팔보시클립,12,기타,no,0,,no,no,source_check_candidate
286,갈란타민브롬화수소산염,12,기타,no,0,,no,no,source_check_candidate
287,에독사반베실산염수화물,12,항혈전(민감),no,0,,no,yes,source_check_hold(sensitive)
288,독시사이클린,11,항생/항균,yes,11,독시사이클린,yes,no,covered
289,덱시부프로펜 디.씨.,11,기타,no,0,,yes,no,source_check_candidate
290,발라시클로비르염산염,11,기타,no,0,,no,no,source_check_candidate
291,란소프라졸/침강탄산칼슘,11,소화/위장,yes,11,란소프라졸,yes,no,covered
292,돔페리돈말레산염,11,소화/위장,no,0,,yes,no,source_check_candidate
293,파모티딘/수산화마그네슘/침강탄산칼슘,11,소화/위장,no,0,,yes,no,source_check_candidate
294,아세트아미노펜/클로르페니라민말레산염/dl-메틸에페드린염산염/슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물/구아이페네신,11,해열진통/소염,no,0,,yes,no,source_check_candidate
295,텔미사르탄/암로디핀베실산염/로수바스타틴칼슘,11,고혈압/심혈관,no,0,,yes,no,source_check_candidate
296,칸데사르탄실렉세틸/암로디핀베실산염,11,고혈압/심혈관,no,0,,yes,no,source_check_candidate
297,모사프리드시트르산염이수화물,11,소화/위장,no,0,,yes,no,source_check_candidate
298,베포타스틴살리실산염,11,기타,no,0,,yes,no,source_check_candidate
299,메퀴타진/벨라돈나총알칼로이드/글리시리진산이칼륨/슈도에페드린염산염/카페인무수물,11,호흡기/알레르기,no,0,,yes,no,source_check_candidate
300,슈도에페드린염산염/트리프롤리딘염산염수화물,11,호흡기/알레르기,no,0,,yes,no,source_check_candidate
